candidate,month,market_regime,shock_month,complete_month,partial_month,strategy_return_pct,strategy_orders,strategy_drawdown_pct,base_month_pass
2C,2025-01,up,True,True,False,6.808006080310158,12,-17.55076110748066,True
2C,2025-02,down,True,True,False,10.795358787798182,13,-6.766700206675303,True
2C,2025-03,sideways,True,True,False,41.7004514581075,11,-28.83251436312609,True
2C,2025-04,up,True,True,False,6.857761994672207,16,-29.40311707059141,True
2C,2025-05,up,True,True,False,17.665419517307136,12,-17.78343826438946,True
2C,2025-06,sideways,False,True,False,9.405567332454943,12,-18.15275883768276,True
2C,2025-07,up,True,True,False,5.575755909827906,14,-7.525493122970284,True
2C,2025-08,down,False,True,False,9.528515109034808,12,-9.72267410269694,True
2C,2025-09,up,False,True,False,6.158430675504079,12,-10.192151979435929,True
2C,2025-10,sideways,True,True,False,11.95012293987192,16,-16.468621952538975,True
2C,2025-11,down,True,True,False,22.146298692623635,14,-10.856216691394206,True
2C,2025-12,sideways,False,True,False,18.56625752733738,12,-11.25111849935163,True
2C,2026-01,down,True,True,False,11.565887551519282,13,-20.98909446623689,True
2C,2026-02,down,True,True,False,29.612022055949573,11,-24.42711463198597,True
2C,2026-03,sideways,True,True,False,23.56373713879896,12,-29.252496952297054,True
2C,2026-04,up,True,True,False,20.89589105627812,12,-11.22949787301546,True
2C,2026-05,sideways,False,True,False,14.259335126106066,12,-9.50269055650087,True
2C,2026-06,down,True,False,True,46.09820947192284,12,-21.13058144879908,True
3,2025-01,up,True,True,False,6.808006080310158,12,-17.55076110748066,True
3,2025-02,down,True,True,False,10.795358787798182,13,-6.766700206675303,True
3,2025-03,sideways,True,True,False,41.7004514581075,11,-28.83251436312609,True
3,2025-04,up,True,True,False,6.556625983789255,24,-29.40311707059141,True
3,2025-05,up,True,True,False,17.344527326338998,14,-18.01513287381621,True
3,2025-06,sideways,False,True,False,9.405567332454943,12,-18.152758837682768,True
3,2025-07,up,True,True,False,5.11302387708088,14,-7.915371180197905,True
3,2025-08,down,False,True,False,9.528515109034808,12,-10.118354059363387,True
3,2025-09,up,False,True,False,6.158430675504079,12,-10.192151979435916,True
3,2025-10,sideways,True,True,False,11.60785443862038,24,-16.468621952538975,True
3,2025-11,down,True,True,False,21.965882799388005,14,-11.128758679805472,True
3,2025-12,sideways,False,True,False,18.56625752733738,12,-11.25111849935163,True
3,2026-01,down,True,True,False,11.565887551519282,13,-20.989094466236917,True
3,2026-02,down,True,True,False,29.612022055949573,11,-24.42711463198597,True
3,2026-03,sideways,True,True,False,23.56373713879896,12,-29.252496952297054,True
3,2026-04,up,True,True,False,20.493589034285225,20,-11.229497873015417,True
3,2026-05,sideways,False,True,False,14.259335126106066,12,-9.50269055650087,True
3,2026-06,down,True,False,True,46.09820947192284,12,-21.13058144879908,True
4,2025-01,up,True,True,False,5.304664192690978,10,-16.125220693771304,True
4,2025-02,down,True,True,False,10.871228641650532,11,-8.543925391330887,True
4,2025-03,sideways,True,True,False,24.481677410000117,11,-18.08237608417609,True
4,2025-04,up,True,True,False,7.594268311904329,24,-28.715648663214463,True
4,2025-05,up,True,True,False,19.650057784700103,12,-15.334094576983937,True
4,2025-06,sideways,False,True,False,7.22868753869248,12,-14.22435361035177,True
4,2025-07,up,True,True,False,4.558896263438661,12,-8.465845888048907,True
4,2025-08,down,False,True,False,8.517732674974642,10,-10.655659507889029,True
4,2025-09,up,False,True,False,7.631721640058253,10,-10.265955397175995,True
4,2025-10,sideways,True,True,False,10.7326730244786,22,-14.036380061138122,True
4,2025-11,down,True,True,False,24.920187727438183,12,-10.666984633442434,True
4,2025-12,sideways,False,True,False,15.275394894276118,10,-10.8816157387316,True
4,2026-01,down,True,True,False,10.511652322786636,11,-23.016095802693982,True
4,2026-02,down,True,True,False,30.460926641189022,11,-23.932143811447517,True
4,2026-03,sideways,True,True,False,20.14879798562588,10,-28.78913036963924,True
4,2026-04,up,True,True,False,18.471896921988183,18,-13.117512857822256,True
4,2026-05,sideways,False,True,False,15.884114318412546,10,-8.86075161833536,True
4,2026-06,down,True,False,True,52.70698024781606,10,-22.366307330293424,True
