return_threshold_pct,shock_threshold_pct,market_regime,months,complete_months,shock_months
3.0,10.0,down,8,7,8
3.0,10.0,sideways,4,4,4
3.0,10.0,up,6,6,5
3.0,15.0,down,8,7,6
3.0,15.0,sideways,4,4,2
3.0,15.0,up,6,6,5
3.0,20.0,down,8,7,4
3.0,20.0,sideways,4,4,0
3.0,20.0,up,6,6,3
5.0,10.0,down,6,5,6
5.0,10.0,sideways,6,6,6
5.0,10.0,up,6,6,5
5.0,15.0,down,6,5,5
5.0,15.0,sideways,6,6,3
5.0,15.0,up,6,6,5
5.0,20.0,down,6,5,4
5.0,20.0,sideways,6,6,0
5.0,20.0,up,6,6,3
7.0,10.0,down,5,4,5
7.0,10.0,sideways,8,8,7
7.0,10.0,up,5,5,5
7.0,15.0,down,5,4,5
7.0,15.0,sideways,8,8,3
7.0,15.0,up,5,5,5
7.0,20.0,down,5,4,4
7.0,20.0,sideways,8,8,0
7.0,20.0,up,5,5,3
