month,has_feature_data,has_2c_3_4_selection,clean_direct_test_role
2024-01,True,False,training_only_for_saved_candidates
2024-02,True,False,training_only_for_saved_candidates
2024-03,True,False,training_only_for_saved_candidates
2024-04,True,False,training_only_for_saved_candidates
2024-05,True,False,training_only_for_saved_candidates
2024-06,True,False,training_only_for_saved_candidates
2024-07,True,False,training_only_for_saved_candidates
2024-08,True,False,training_only_for_saved_candidates
2024-09,True,False,training_only_for_saved_candidates
2024-10,True,False,training_only_for_saved_candidates
2024-11,True,False,training_only_for_saved_candidates
2024-12,True,False,training_only_for_saved_candidates
2025-01,True,True,evaluated_or_available_month
2025-02,True,True,evaluated_or_available_month
2025-03,True,True,evaluated_or_available_month
2025-04,True,True,evaluated_or_available_month
2025-05,True,True,evaluated_or_available_month
2025-06,True,True,evaluated_or_available_month
2025-07,True,True,evaluated_or_available_month
2025-08,True,True,evaluated_or_available_month
2025-09,True,True,evaluated_or_available_month
2025-10,True,True,evaluated_or_available_month
2025-11,True,True,evaluated_or_available_month
2025-12,True,True,evaluated_or_available_month
2026-01,True,True,evaluated_or_available_month
2026-02,True,True,evaluated_or_available_month
2026-03,True,True,evaluated_or_available_month
2026-04,True,True,evaluated_or_available_month
2026-05,True,True,evaluated_or_available_month
2026-06,True,True,evaluated_or_available_month
